scientificName,decimalLatitude,decimalLongitude,dataset_id,date,aphiaID
Codium fragile subsp. fragile,42.5211181641,-70.8809814453,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,41.8348999023,-69.9726028442,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,41.8087005615,-69.9529037476,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,41.8348999023,-69.9726028442,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,41.8348999023,-69.9726028442,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,41.8348999023,-69.9726028442,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,41.8348999023,-69.9726028442,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,41.771068573,-70.5023727417,4da23d30-af8d-48f3-977a-4e24394e2e8c,2007,370562
Codium fragile subsp. fragile,42.5215988159,-70.881652832,4da23d30-af8d-48f3-977a-4e24394e2e8c,2007,370562
Codium fragile subsp. fragile,42.5766983032,-70.7376022339,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,42.5766983032,-70.7376022339,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,42.5213012695,-70.8817977905,1618356f-0f62-4cbb-9252-005120e31fb0,2008,370562
Codium fragile subsp. fragile,42.5213317871,-70.8818206787,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,41.7958984375,-69.9468994141,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,42.5402984619,-70.8862991333,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,42.3432502747,-71.0350036621,4da23d30-af8d-48f3-977a-4e24394e2e8c,2000,370562
Codium fragile subsp. fragile,41.8087005615,-69.9529037476,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,42.5213317871,-70.8818206787,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,41.8348999023,-69.9726028442,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,42.5211181641,-70.8809814453,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,41.8348999023,-69.9726028442,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,42.3218078613,-70.9886322021,1618356f-0f62-4cbb-9252-005120e31fb0,2009,370562
Codium fragile subsp. fragile,41.8348999023,-69.9726028442,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,41.8087005615,-69.9529037476,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,41.8348999023,-69.9726028442,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,42.5766983032,-70.7376022339,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,41.8087005615,-69.9529037476,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,42.5463485718,-70.8554992676,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,42.5213317871,-70.8818206787,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,42.5213012695,-70.8817977905,1618356f-0f62-4cbb-9252-005120e31fb0,2009,370562
Codium fragile subsp. fragile,42.5213317871,-70.8818206787,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,41.8087005615,-69.9529037476,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,42.5213012695,-70.8817977905,1618356f-0f62-4cbb-9252-005120e31fb0,2008,370562
Codium fragile subsp. fragile,41.8087005615,-69.9529037476,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,42.5004005432,-70.8382034302,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,41.8348999023,-69.9726028442,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,41.8348999023,-69.9726028442,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,41.8348999023,-69.9726028442,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,41.8348999023,-69.9726028442,1618356f-0f62-4cbb-9252-005120e31fb0,2008,370562
Codium fragile subsp. fragile,42.5276985168,-70.8663024902,1618356f-0f62-4cbb-9252-005120e31fb0,2008,370562
Codium fragile subsp. fragile,42.3218078613,-70.9886322021,1618356f-0f62-4cbb-9252-005120e31fb0,2009,370562
Codium fragile subsp. fragile,41.7997016907,-70.0077972412,1618356f-0f62-4cbb-9252-005120e31fb0,2008,370562
Codium fragile subsp. fragile,41.8087005615,-69.9529037476,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,42.5213012695,-70.8817977905,1618356f-0f62-4cbb-9252-005120e31fb0,2009,370562
Codium fragile subsp. fragile,41.8348999023,-69.9726028442,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,41.8087005615,-69.9529037476,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,41.8087005615,-69.9529037476,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,41.8348999023,-69.9726028442,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,41.8348999023,-69.9726028442,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,42.5766983032,-70.7376022339,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,42.5276985168,-70.8663024902,1618356f-0f62-4cbb-9252-005120e31fb0,2009,370562
Codium fragile subsp. fragile,42.5211181641,-70.8809814453,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,42.5004005432,-70.8382034302,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,42.5211181641,-70.8809814453,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,42.5402984619,-70.8862991333,b42bc9f6-efc5-4cfd-b6a8-3c97b0a1be46,2007,370562
Codium fragile subsp. fragile,42.5215988159,-70.881652832,4da23d30-af8d-48f3-977a-4e24394e2e8c,2000,370562
